event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
712460,Hong Kong,P_HKO_AbsDailyMax,2026-07-19,30.6,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.6
716229,Hong Kong,P_HKO_AbsDailyMax,2026-07-20,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
720234,Hong Kong,P_HKO_AbsDailyMax,2026-07-21,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
736355,Hong Kong,P_HKO_AbsDailyMax,2026-07-25,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
750603,Hong Kong,P_HKO_AbsDailyMax,2026-07-28,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
759536,Hong Kong,P_HKO_AbsDailyMax,2026-07-30,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
775389,Hong Kong,P_HKO_AbsDailyMax,2026-08-02,26.8,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.8
784717,Hong Kong,P_HKO_AbsDailyMax,2026-08-04,32.5,C,32°C,32.0,32.0,32,33,33,32,True,False,False,True,0.5
799601,Hong Kong,P_HKO_AbsDailyMax,2026-08-07,33.8,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.8
842144,Hong Kong,P_HKO_AbsDailyMax,2026-08-15,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
919413,Hong Kong,P_HKO_AbsDailyMax,2026-08-29,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
929252,Hong Kong,P_HKO_AbsDailyMax,2026-08-31,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
276884,Hong Kong,P_HKO_AbsDailyMax,2026-03-18,27.8,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.8
306339,Hong Kong,P_HKO_AbsDailyMax,2026-03-29,25.8,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.8
352644,Hong Kong,P_HKO_AbsDailyMax,2026-04-11,27.6,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.6
394297,Hong Kong,P_HKO_AbsDailyMax,2026-04-21,28.9,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.9
408592,Hong Kong,P_HKO_AbsDailyMax,2026-04-25,26.5,C,26°C,26.0,26.0,26,27,27,26,True,False,False,True,0.5
436622,Hong Kong,P_HKO_AbsDailyMax,2026-05-03,29.6,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.6
500684,Hong Kong,P_HKO_AbsDailyMax,2026-05-21,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
536699,Hong Kong,P_HKO_AbsDailyMax,2026-05-31,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
553910,Hong Kong,P_HKO_AbsDailyMax,2026-06-05,34.6,C,34°C,34.0,34.0,34,35,35,35,True,False,False,False,0.6
