col_20260912T000705Z_b58b50	load:orderbook_snapshots	35	39094
col_20260912T000705Z_b58b50	load:price_history	35	27878
col_20260912T000705Z_b58b50	load:markets_excluded	0	0
col_20260912T030705Z_f1ccaf	load:markets	4	7700
col_20260912T030705Z_f1ccaf	load:outcomes	4	15400
col_20260912T030705Z_f1ccaf	load:orderbook_snapshots	37	41294
col_20260912T030705Z_f1ccaf	load:price_history	37	29316
col_20260912T030705Z_f1ccaf	load:markets_excluded	0	0
col_20260912T060705Z_c52ca2	load:markets	5	9900
col_20260912T060705Z_c52ca2	load:outcomes	5	19800
col_20260912T060705Z_c52ca2	load:orderbook_snapshots	38	42372
col_20260912T060705Z_c52ca2	load:price_history	38	30108
col_20260912T060705Z_c52ca2	load:markets_excluded	0	0
col_20260912T090705Z_03d6d4	load:markets	6	12485
col_20260912T090705Z_03d6d4	load:outcomes	6	24970
col_20260912T090705Z_03d6d4	load:orderbook_snapshots	39	43494
col_20260912T090705Z_03d6d4	load:price_history	39	30958
col_20260912T090705Z_03d6d4	load:markets_excluded	0	0
col_20260912T120919Z_a45c6d	load:markets	8	17864
col_20260912T120919Z_a45c6d	load:outcomes	8	35728
col_20260912T120919Z_a45c6d	load:orderbook_snapshots	41	45738
col_20260912T120919Z_a45c6d	load:price_history	41	32588
col_20260912T120919Z_a45c6d	load:markets_excluded	0	0
col_20260912T150705Z_ae15d7	load:markets	9	20570
col_20260912T150705Z_ae15d7	load:outcomes	9	41140
col_20260912T150705Z_ae15d7	load:orderbook_snapshots	42	46860
col_20260912T150705Z_ae15d7	load:price_history	42	33390
col_20260912T150705Z_ae15d7	load:markets_excluded	0	0
col_20260912T180705Z_84bd52	load:markets	10	23331
col_20260912T180705Z_84bd52	load:outcomes	10	46662
col_20260912T180705Z_84bd52	load:orderbook_snapshots	43	47982
col_20260912T180705Z_84bd52	load:price_history	43	34172
col_20260912T180705Z_84bd52	load:markets_excluded	0	0
col_20260912T210705Z_fa165f	load:markets	11	26092
col_20260912T210705Z_fa165f	load:outcomes	10	46662
col_20260912T210705Z_fa165f	load:orderbook_snapshots	44	49104
col_20260912T210705Z_fa165f	load:price_history	44	34908
col_20260912T210705Z_fa165f	load:markets_excluded	0	0
col_20260913T000706Z_40b22d	load:markets	12	2761
col_20260913T000706Z_40b22d	load:outcomes	10	5522
col_20260913T000706Z_40b22d	load:orderbook_snapshots	45	50226
col_20260913T000706Z_40b22d	load:price_history	45	35620
col_20260913T000706Z_40b22d	load:markets_excluded	0	0
col_20260913T030705Z_fbbe6e	load:markets	14	2761
col_20260913T030705Z_fbbe6e	load:outcomes	10	5522
col_20260913T030705Z_fbbe6e	load:orderbook_snapshots	47	52426
col_20260913T030705Z_fbbe6e	load:price_history	47	37040
col_20260913T030705Z_fbbe6e	load:markets_excluded	0	0
col_20260910T024007Z_228145	load:markets	1	1100
col_20260910T024007Z_228145	load:outcomes	1	2200
col_20260910T024007Z_228145	load:orderbook_snapshots	16	17908
col_20260910T024007Z_228145	load:price_history	16	12656
col_20260910T024007Z_228145	load:markets_excluded	0	0
col_20260910T114005Z_76c853	load:markets	1	1100
col_20260910T114005Z_76c853	load:outcomes	1	2200
col_20260910T114005Z_76c853	load:orderbook_snapshots	20	22352
col_20260910T114005Z_76c853	load:price_history	20	15904
col_20260910T114005Z_76c853	load:markets_excluded	0	0
col_20260911T024005Z_26c0fe	load:markets	1	1100
col_20260911T024005Z_26c0fe	load:outcomes	1	2200
col_20260911T024005Z_26c0fe	load:orderbook_snapshots	26	29040
col_20260911T024005Z_26c0fe	load:price_history	26	20830
col_20260911T024005Z_26c0fe	load:markets_excluded	0	0
col_20260911T114004Z_aa19cc	load:markets	1	1100
col_20260911T114004Z_aa19cc	load:outcomes	1	2200
col_20260911T114004Z_aa19cc	load:orderbook_snapshots	30	33484
col_20260911T114004Z_aa19cc	load:price_history	30	24058
col_20260911T114004Z_aa19cc	load:markets_excluded	0	0
col_20260912T024005Z_dffd86	load:markets	3	5500
col_20260912T024005Z_dffd86	load:outcomes	3	11000
col_20260912T024005Z_dffd86	load:orderbook_snapshots	36	40172
col_20260912T024005Z_dffd86	load:price_history	36	28672
col_20260912T024005Z_dffd86	load:markets_excluded	0	0
col_20260912T114005Z_e79a6c	load:markets	7	15158
col_20260912T114005Z_e79a6c	load:outcomes	7	30316
col_20260912T114005Z_e79a6c	load:orderbook_snapshots	40	44616
col_20260912T114005Z_e79a6c	load:price_history	40	31780
col_20260912T114005Z_e79a6c	load:markets_excluded	0	0
col_20260913T024005Z_b2895e	load:markets	13	2761
col_20260913T024005Z_b2895e	load:outcomes	10	5522
col_20260913T024005Z_b2895e	load:orderbook_snapshots	46	51304
col_20260913T024005Z_b2895e	load:price_history	46	36400
col_20260913T024005Z_b2895e	load:markets_excluded	0	0
