event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
735870,CYYZ,2026-07-24,11,1,true,true
678810,KORD,2026-07-09,11,1,true,true
697078,KORD,2026-07-14,11,1,true,true
754879,EPWA,2026-07-29,11,1,true,true
831658,EGLC,2026-08-13,11,1,true,true
836377,KMIA,2026-08-13,11,1,true,true
883962,EGLC,2026-08-23,11,3,true,true
893515,,2026-08-25,11,3,true,true
712624,LEMD,2026-07-19,11,1,true,true
784119,KLGA,2026-08-03,11,1,true,true
814118,RKSI,2026-08-10,11,3,true,true
831680,FACT,2026-08-13,11,1,true,true
857518,ZUUU,2026-08-18,11,1,true,true
869071,EGLC,2026-08-20,11,3,true,true
883987,ZBAA,2026-08-23,11,1,true,true
951865,,2026-09-04,11,11,true,true
515703,KHOU,2026-05-25,11,1,true,true
533172,KHOU,2026-05-30,11,1,true,true
533187,ZSQD,2026-05-30,11,1,true,true
571024,CYYZ,2026-06-09,11,1,true,true
620955,OEJN,2026-06-24,11,1,true,true
639531,LFPB,2026-06-29,11,1,true,true
639560,EHAM,2026-06-29,11,1,true,true
657474,RKSI,2026-07-04,11,3,true,true
675498,ZUCK,2026-07-09,11,1,true,true
678809,KMIA,2026-07-09,11,1,true,true
697072,CYYZ,2026-07-14,11,1,true,true
712465,ZBAA,2026-07-19,11,1,true,true
712621,EDDM,2026-07-19,11,1,true,true
804490,ZGSZ,2026-08-08,11,1,true,true
808805,KORD,2026-08-08,11,1,true,true
819137,EGLC,2026-08-11,11,3,true,true
857501,RKSI,2026-08-18,11,1,true,true
857536,ZGGG,2026-08-18,11,1,true,true
951869,,2026-09-04,11,11,true,true
754883,ZHHH,2026-07-29,11,1,true,true
496988,LFPB,2026-05-20,11,11,true,true
568087,OPKC,2026-06-09,11,1,true,true
586133,VILK,2026-06-14,11,1,true,true
589060,MPMG,2026-06-14,11,1,true,true
621098,FACT,2026-06-24,11,1,true,true
693942,OPKC,2026-07-14,11,1,true,true
712464,ZUCK,2026-07-19,11,1,true,true
712631,FACT,2026-07-19,11,1,true,true
731546,EDDM,2026-07-24,11,1,true,true
784120,KDAL,2026-08-03,11,1,true,true
831471,ZGSZ,2026-08-13,11,1,true,true
939954,,2026-09-02,11,3,true,true
951878,,2026-09-04,11,11,true,true
727795,EGLC,2026-07-23,11,3,true,true
731564,EHAM,2026-07-24,11,1,true,true
750594,EGLC,2026-07-28,11,3,true,true
766606,RKSI,2026-07-31,11,3,true,true
775386,RKSI,2026-08-02,11,3,true,true
779943,LTAC,2026-08-03,11,1,true,true
779964,EFHK,2026-08-03,11,1,true,true
831472,RKPK,2026-08-13,11,1,true,true
883997,OEJN,2026-08-23,11,1,true,true
908167,,2026-08-27,11,3,true,true
712628,EHAM,2026-07-19,11,1,true,true
779941,LFPB,2026-08-03,11,1,true,true
857499,EGLC,2026-08-18,11,3,true,true
712468,ZGSZ,2026-07-19,11,1,true,true
731553,LEMD,2026-07-24,11,1,true,true
779966,OEJN,2026-08-03,11,1,true,true
804491,RKPK,2026-08-08,11,1,true,true
831664,LIMC,2026-08-13,11,1,true,true
857510,WSSS,2026-08-18,11,1,true,true
533173,KLAX,2026-05-30,11,1,true,true
540071,EGLC,2026-06-01,11,3,true,true
564388,EGLC,2026-06-07,11,3,true,true
585988,ZUCK,2026-06-14,11,1,true,true
642567,KLGA,2026-06-29,11,1,true,true
657621,LFPB,2026-07-04,11,1,true,true
657635,EPWA,2026-07-04,11,1,true,true
260688,EGLC,2026-03-13,9,3,true,true
302781,EGLC,2026-03-28,11,3,true,true
